regime,method,displayed_k,absolute_same_cutoff_error,compiled_count_2q,compiled_depth,s_alg
weak_weak,SNAKE,30,7.993605777301127e-15,258,1234,39947
weak_weak,Geo-ADAPT,5,0.0013117770378563431,98,480,24859
weak_weak,Append-ADAPT,23,0.0009192819178269751,4216,15936,108633
intermediate_weak,SNAKE,23,3.4416913763379853e-15,196,901,33814
intermediate_weak,Geo-ADAPT,4,0.09893293320249796,70,528,19792
intermediate_weak,Append-ADAPT,28,0.005223690514773949,4276,15924,231208
strong_weak,SNAKE,9,1.5711479179891796e-06,54,329,7639
strong_weak,Geo-ADAPT,6,2.354651946201436e-06,146,763,30007
strong_weak,Append-ADAPT,6,2.3546519453132575e-06,146,762,2137
weak_strong,SNAKE,50,3.051703169054676e-06,822,3187,182236
weak_strong,Geo-ADAPT,8,0.043646714159213396,1784,6160,47155
weak_strong,Append-ADAPT,23,0.023007750483881706,32596,94899,136947
intermediate_strong,SNAKE,50,4.7338917443573436e-05,824,3320,196013
intermediate_strong,Geo-ADAPT,8,0.02897791863102661,1784,6104,47245
intermediate_strong,Append-ADAPT,25,0.009295831578261082,33340,97248,167416
strong_strong,SNAKE,33,3.2083758372269955e-07,404,1687,80909
strong_strong,Geo-ADAPT,6,4.982206763848307e-05,348,1149,33962
strong_strong,Append-ADAPT,8,3.61579243989274e-05,7976,26219,6378
