regime,method,role_key,point_count,marker_k,marker_error,table_error,marker_source,initial_point_policy,png,pdf,source_json,source_sha256
weak-weak,SNAKE,snake,31,13,0.00045236490925915085,0.00045236490925915085,trajectory_points_at_displayed_k_pl,x=0 uses first delta_abs_current; first delta_abs_prev is omitted to match comparator support-CSV trajectory convention,MATH/paper_details/figures/paper_i_physical_lane_snake_duplicate_20260708/paper_i_physical_lane_snake_duplicate_20260708__weak_weak.png,MATH/paper_details/figures/paper_i_physical_lane_snake_duplicate_20260708/paper_i_physical_lane_snake_duplicate_20260708__weak_weak.pdf,raw_outputs/paper_i_hh_physical_operator_lanes_nobatch_factor3_20260708/weak_weak/json/result.json,bb51341389bac493f99fac05bd425f6cdfca28a1d87983aa812d979b6301d1cb
weak-weak,Geo-ADAPT,geo_macro_c,31,5,0.001127815214085226,0.0013117770378563431,trajectory_points_at_displayed_k_pl,support CSV trajectory_points_json,MATH/paper_details/figures/paper_i_physical_lane_snake_duplicate_20260708/paper_i_physical_lane_snake_duplicate_20260708__weak_weak.png,MATH/paper_details/figures/paper_i_physical_lane_snake_duplicate_20260708/paper_i_physical_lane_snake_duplicate_20260708__weak_weak.pdf,output/chtc_retrievals/paper_i_hh_fullmeta_singleton_symmetry_20260630_current_fetch/raw_outputs/paper_i_hh_fullmeta_singleton_symmetry_20260630_schedfix_powell/paper_i_hh_fullmeta_singleton_symmetry_20260630_schedfix_powell__weak_weak__geo__C_macro_only__native_forced__powell200__depth30_noearlystop__fullmeta_singleton_symmetry/result/generic_static_single.json,3db70cc75f545fa6439fe23d3ef45114bdf92adc9d596c5e606d6436780c5f45
weak-weak,Append-ADAPT,append_macro_c,31,23,0.00036917404831438017,0.0009192819178269751,trajectory_points_at_displayed_k_pl,support CSV trajectory_points_json,MATH/paper_details/figures/paper_i_physical_lane_snake_duplicate_20260708/paper_i_physical_lane_snake_duplicate_20260708__weak_weak.png,MATH/paper_details/figures/paper_i_physical_lane_snake_duplicate_20260708/paper_i_physical_lane_snake_duplicate_20260708__weak_weak.pdf,output/chtc_retrievals/paper_i_hh_fullmeta_singleton_symmetry_20260630_current_fetch/raw_outputs/paper_i_hh_fullmeta_singleton_symmetry_20260630_schedfix_powell/paper_i_hh_fullmeta_singleton_symmetry_20260630_schedfix_powell__weak_weak__append__C_macro_only__native_forced__powell200__depth30_noearlystop__fullmeta_singleton_symmetry/result/generic_static_single.json,a0b53b4643d97588a04fb688f09dd48964a90a1cd650e95d6cad68d167c8c3a6
intermediate-weak,SNAKE,snake,31,10,0.00021581402163145524,0.00021581402163145524,trajectory_points_at_displayed_k_pl,x=0 uses first delta_abs_current; first delta_abs_prev is omitted to match comparator support-CSV trajectory convention,MATH/paper_details/figures/paper_i_physical_lane_snake_duplicate_20260708/paper_i_physical_lane_snake_duplicate_20260708__intermediate_weak.png,MATH/paper_details/figures/paper_i_physical_lane_snake_duplicate_20260708/paper_i_physical_lane_snake_duplicate_20260708__intermediate_weak.pdf,raw_outputs/paper_i_hh_physical_operator_lanes_nobatch_factor3_20260708/intermediate_weak/json/result.json,aee2bdfc258555013392ebda3ab97bc822b248bee0ffa41b9bada35bb70ab1e9
intermediate-weak,Geo-ADAPT,geo_macro_c,31,4,0.07795429664731951,0.09893293320249796,trajectory_points_at_displayed_k_pl,support CSV trajectory_points_json,MATH/paper_details/figures/paper_i_physical_lane_snake_duplicate_20260708/paper_i_physical_lane_snake_duplicate_20260708__intermediate_weak.png,MATH/paper_details/figures/paper_i_physical_lane_snake_duplicate_20260708/paper_i_physical_lane_snake_duplicate_20260708__intermediate_weak.pdf,output/chtc_retrievals/paper_i_hh_fullmeta_singleton_symmetry_20260630_current_fetch/raw_outputs/paper_i_hh_fullmeta_singleton_symmetry_20260630_schedfix_powell/paper_i_hh_fullmeta_singleton_symmetry_20260630_schedfix_powell__intermediate_weak__geo__C_macro_only__native_forced__powell200__depth30_noearlystop__fullmeta_singleton_symmetry/result/generic_static_single.json,548746aee514688474bf93659f6595a2f4284c879fd8f257479b347bbca2d255
intermediate-weak,Append-ADAPT,append_macro_c,31,28,0.003946816613623283,0.005223690514773949,trajectory_points_at_displayed_k_pl,support CSV trajectory_points_json,MATH/paper_details/figures/paper_i_physical_lane_snake_duplicate_20260708/paper_i_physical_lane_snake_duplicate_20260708__intermediate_weak.png,MATH/paper_details/figures/paper_i_physical_lane_snake_duplicate_20260708/paper_i_physical_lane_snake_duplicate_20260708__intermediate_weak.pdf,output/chtc_retrievals/paper_i_hh_fullmeta_singleton_symmetry_20260630_current_fetch/raw_outputs/paper_i_hh_fullmeta_singleton_symmetry_20260630_schedfix_powell/paper_i_hh_fullmeta_singleton_symmetry_20260630_schedfix_powell__intermediate_weak__append__C_macro_only__native_forced__powell200__depth30_noearlystop__fullmeta_singleton_symmetry/result/generic_static_single.json,eb3876dbfdbc1fae7e3859d2fe44b9da63824301eb894339b08ed97497aaba0c
strong-weak,SNAKE,snake,31,11,1.5912792076244742e-06,1.5912792076244742e-06,trajectory_points_at_displayed_k_pl,x=0 uses first delta_abs_current; first delta_abs_prev is omitted to match comparator support-CSV trajectory convention,MATH/paper_details/figures/paper_i_physical_lane_snake_duplicate_20260708/paper_i_physical_lane_snake_duplicate_20260708__strong_weak.png,MATH/paper_details/figures/paper_i_physical_lane_snake_duplicate_20260708/paper_i_physical_lane_snake_duplicate_20260708__strong_weak.pdf,raw_outputs/paper_i_hh_physical_operator_lanes_nobatch_factor3_20260708/strong_weak/json/result.json,a77f913eb2c2b1cbf8adfeebd4e6cca23dc0f966a2d06467a3d902554042a745
strong-weak,Geo-ADAPT,geo_macro_c,31,6,1.958072529117949e-06,2.354651946201436e-06,trajectory_points_at_displayed_k_pl,support CSV trajectory_points_json,MATH/paper_details/figures/paper_i_physical_lane_snake_duplicate_20260708/paper_i_physical_lane_snake_duplicate_20260708__strong_weak.png,MATH/paper_details/figures/paper_i_physical_lane_snake_duplicate_20260708/paper_i_physical_lane_snake_duplicate_20260708__strong_weak.pdf,output/chtc_retrievals/paper_i_hh_fullmeta_singleton_symmetry_20260630_current_fetch/raw_outputs/paper_i_hh_fullmeta_singleton_symmetry_20260630_schedfix_powell/paper_i_hh_fullmeta_singleton_symmetry_20260630_schedfix_powell__strong_weak__geo__C_macro_only__native_forced__powell200__depth30_noearlystop__fullmeta_singleton_symmetry/result/generic_static_single.json,5832452cc10b4bc4c2faa22cd062ebfd41b9d39efa1219bbf3c5acdeda2e51ab
strong-weak,Append-ADAPT,append_macro_c,31,6,1.958072529451016e-06,2.3546519453132575e-06,trajectory_points_at_displayed_k_pl,support CSV trajectory_points_json,MATH/paper_details/figures/paper_i_physical_lane_snake_duplicate_20260708/paper_i_physical_lane_snake_duplicate_20260708__strong_weak.png,MATH/paper_details/figures/paper_i_physical_lane_snake_duplicate_20260708/paper_i_physical_lane_snake_duplicate_20260708__strong_weak.pdf,output/chtc_retrievals/paper_i_hh_fullmeta_singleton_symmetry_20260630_current_fetch/raw_outputs/paper_i_hh_fullmeta_singleton_symmetry_20260630_schedfix_powell/paper_i_hh_fullmeta_singleton_symmetry_20260630_schedfix_powell__strong_weak__append__C_macro_only__native_forced__powell200__depth30_noearlystop__fullmeta_singleton_symmetry/result/generic_static_single.json,4debf76c8b85567938266e1d434c580cda585b16748fab6781144d960f6c548a
weak-strong,SNAKE,snake,51,50,3.474276848813851e-05,3.474276848813851e-05,terminal_depth50_result,stitched depth-30/depth-45/depth-50 cumulative trajectory; x=0 uses the depth-30 first post-admission error; terminal segment uses the completed CHTC depth-50 result energy,MATH/paper_details/figures/paper_i_physical_lane_snake_duplicate_20260708/paper_i_physical_lane_snake_duplicate_20260708__weak_strong.png,MATH/paper_details/figures/paper_i_physical_lane_snake_duplicate_20260708/paper_i_physical_lane_snake_duplicate_20260708__weak_strong.pdf,MATH/paper_details/figures/paper_i_physical_lane_snake_duplicate_20260708/paper_i_physical_lane_snake_duplicate_20260708__weak_strong_snake_depth50_stitched_source.json,142b978eb9d196a906dd2261f2cc4f476326bc0d5a3c0d8604be6d142c5b302f
