method,trotter_steps,hardware_diagnostic_only,run_dir,workflow_json,workflow_pdf,transpile_backend,dynamics_only_count_2q,dynamics_only_cx_count,dynamics_only_depth,prep_plus_dynamics_count_2q,prep_plus_dynamics_cx_count,prep_plus_dynamics_depth,cx_proxy_total,depth_proxy_total,final_fidelity,min_fidelity,max_abs_energy_total_error,final_abs_energy_total_error,final_abs_energy_error_vs_ground_state,transpile_status
cfqm4,1,True,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S1,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S1/workflow.json,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S1/workflow.pdf,FakeGuadalupeV2,283,283,279,,,,288,132,0.05771011105861506,0.0007533886346868628,5.85643044453078,4.754782513911818,4.850716815630779,ok
cfqm4,2,True,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S2,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S2/workflow.json,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S2/workflow.pdf,FakeGuadalupeV2,557,557,556,,,,576,264,0.3978931611368067,0.3978931611368067,3.6979438438509833,3.6979438438509833,3.710447386970094,ok
cfqm4,3,True,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S3,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S3/workflow.json,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S3/workflow.pdf,FakeGuadalupeV2,831,831,838,,,,864,396,0.9047939171435524,0.9047939171435524,0.5836034019054505,0.5836034019054505,0.5977268073039392,ok
cfqm4,4,True,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S4,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S4/workflow.json,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S4/workflow.pdf,FakeGuadalupeV2,1105,1105,1113,,,,1152,528,0.9546254475307682,0.9546254475307682,0.23495451561060787,0.23495451561060787,0.24984672777454953,ok
cfqm4,5,True,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S5,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S5/workflow.json,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S5/workflow.pdf,FakeGuadalupeV2,1379,1379,1382,,,,1440,660,0.9793586086177961,0.9793586086177961,0.08786326438905628,0.08786326438905628,0.10313877051444215,ok
cfqm4,6,True,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S6,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S6/workflow.json,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S6/workflow.pdf,FakeGuadalupeV2,1653,1653,1667,,,,1728,792,0.9905867613411556,0.9905867613411556,0.0334007055520322,0.0334007055520322,0.04889113202849987,ok
cfqm4,8,True,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S8,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S8/workflow.json,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S8/workflow.pdf,FakeGuadalupeV2,2201,2201,2209,,,,2304,1056,0.9972353582926015,0.9972353582926015,0.005398530257401418,0.005398530257401418,0.021107138682861515,ok
cfqm4,10,True,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S10,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S10/workflow.json,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S10/workflow.pdf,FakeGuadalupeV2,2749,2749,2758,,,,2880,1320,0.9989191559534756,0.9989115349239824,0.0015483830092672402,0.00014156600771442207,0.015952633518566545,ok
cfqm4,12,True,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S12,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S12/workflow.json,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S12/workflow.pdf,FakeGuadalupeV2,3297,3297,3331,,,,3456,1584,0.9994930683238991,0.9994846780188517,0.001996144215653306,0.0010204192532560774,0.01484668813237583,ok
cfqm4,14,True,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S14,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S14/workflow.json,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S14/workflow.pdf,FakeGuadalupeV2,3845,3845,3865,,,,4032,1848,0.9997311337662597,0.9997251851670949,0.0018959460384340432,0.0012119451310245444,0.014689081633004225,ok
cfqm4,16,True,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S16,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S16/workflow.json,artifacts/json/cfqm4_ps2_t4_budget_scout_runs/cfqm4_S16/workflow.pdf,FakeGuadalupeV2,4393,4393,4413,,,,4608,2112,0.9998442268550125,0.9998402280183958,0.0016689194646797856,0.0011473290146043202,0.014775764422358867,ok
