stage,unit_index,unit_kind,unit_label,base_label,sequence_order,theta_value,reference_energy,energy_prefix,delta_energy_from_previous,energy_full,energy_full_minus_unit,removal_penalty,parameter_count,logical_2q_count,logical_depth,unit_logical_2q_count,unit_logical_depth,energy_gain_per_2q,energy_gain_per_depth,circuit_hash,removal_circuit_hash,full_circuit_hash
warm_start,1,logical_block,"layer1:hh_hop(i=0,j=1,spin=0)","hh_hop(i=0,j=1,spin=0)",1,-0.615969629869691,5.0,3.664818738386499,1.335181261613501,0.19596077032071005,0.6362335639882308,0.4402727936675208,1,2,1,2,1,0.6675906308067505,1.335181261613501,bf97ee098b0fdc75,868debb4a0c009c0,b4aa557c4e4bd6e9
warm_start,2,logical_block,"layer1:hh_hop(i=0,j=1,spin=1)","hh_hop(i=0,j=1,spin=1)",2,-0.7028941725657846,5.0,3.1092032617529117,0.5556154766335872,0.19596077032071005,2.075644107637521,1.8796833373168111,2,4,2,2,1,0.2778077383167936,0.5556154766335872,6d4ee5633c10c412,cbffd6a391019bd7,b4aa557c4e4bd6e9
warm_start,3,logical_block,layer1:hh_onsite(i=0),hh_onsite(i=0),3,1.4197065922555434,5.0,3.794598305721339,-0.6853950439684273,0.19596077032071005,0.5901526746760513,0.39419190435534124,3,6,3,2,1,-0.34269752198421366,-0.6853950439684273,10b896ef27b06cbf,80834a7c16ce95cf,b4aa557c4e4bd6e9
warm_start,4,logical_block,layer1:hh_onsite(i=1),hh_onsite(i=1),4,1.9189012383058963,5.0,4.506489819446054,-0.7118915137247153,0.19596077032071005,1.1030300477740953,0.9070692774533853,4,8,4,2,1,-0.35594575686235763,-0.7118915137247153,6c578acde45f1944,b66529900d72e48a,b4aa557c4e4bd6e9
warm_start,5,logical_block,layer1:hh_phonon(i=0),hh_phonon(i=0),5,0.3468067979196176,5.0,4.506489819446055,-8.881784197001252e-16,0.19596077032071005,0.19596077032071005,0.0,5,10,5,2,1,-4.440892098500626e-16,-8.881784197001252e-16,b7d7a5f05f38fbe9,a0c8f43768a54499,b4aa557c4e4bd6e9
warm_start,6,logical_block,layer1:hh_phonon(i=1),hh_phonon(i=1),6,0.02731067373012913,5.0,4.506489819446056,-8.881784197001252e-16,0.19596077032071005,0.1959607703207102,1.3877787807814457e-16,6,12,6,2,1,-4.440892098500626e-16,-8.881784197001252e-16,10e5c263fa3da6ca,95f4d74deb77b2ed,b4aa557c4e4bd6e9
warm_start,7,logical_block,layer1:hh_eph(i=0),hh_eph(i=0),7,0.3788936141252461,5.0,4.500629891314179,0.00585992813187719,0.19596077032071005,0.2494836423767462,0.05352287205603615,7,18,7,6,1,0.0009766546886461984,0.00585992813187719,70457096bc056156,7df41636ca9a6b11,b4aa557c4e4bd6e9
warm_start,8,logical_block,layer1:hh_eph(i=1),hh_eph(i=1),8,0.37128747744192986,5.0,4.4954068044167474,0.00522308689743145,0.19596077032071005,0.23917397376425364,0.043213203443543596,8,24,8,6,1,0.0008705144829052417,0.00522308689743145,2564e6acaf4c6762,d0a775cf055a5665,b4aa557c4e4bd6e9
warm_start,9,logical_block,"layer2:hh_hop(i=0,j=1,spin=0)","hh_hop(i=0,j=1,spin=0)",9,1.2732755787182746,5.0,4.744541890203672,-0.24913508578692412,0.19596077032071005,1.5651317657030455,1.3691709953823354,9,26,9,2,1,-0.12456754289346206,-0.24913508578692412,9e61f5bbef8365cb,c5842900fd816f6a,b4aa557c4e4bd6e9
warm_start,10,logical_block,"layer2:hh_hop(i=0,j=1,spin=1)","hh_hop(i=0,j=1,spin=1)",10,1.4220091844596379,5.0,4.002786509826749,0.7417553803769223,0.19596077032071005,2.1007567237341127,1.9047959534134027,10,28,10,2,1,0.3708776901884612,0.7417553803769223,6f894e7914feaca1,20a83a148514386c,b4aa557c4e4bd6e9
warm_start,11,logical_block,layer2:hh_onsite(i=0),hh_onsite(i=0),11,1.0811635528460788,5.0,2.4318679802591525,1.5709185295675967,0.19596077032071005,1.8169617680541028,1.6210009977333928,11,30,11,2,1,0.7854592647837983,1.5709185295675967,bd00c9956346e874,8f69fb531c9ca3e9,b4aa557c4e4bd6e9
warm_start,12,logical_block,layer2:hh_onsite(i=1),hh_onsite(i=1),12,-0.8263875374845583,5.0,1.3087144146454217,1.1231535656137308,0.19596077032071005,2.5041137168635292,2.308152946542819,12,32,12,2,1,0.5615767828068654,1.1231535656137308,5e0c21a9f0a1f3b2,c06954f8b23d0122,b4aa557c4e4bd6e9
warm_start,13,logical_block,layer2:hh_phonon(i=0),hh_phonon(i=0),13,1.139222238303799,5.0,1.3586794897250662,-0.04996507507964454,0.19596077032071005,0.2617648499396319,0.06580407961892185,13,34,13,2,1,-0.02498253753982227,-0.04996507507964454,5118650f4ea0024f,964dc73816909eed,b4aa557c4e4bd6e9
warm_start,14,logical_block,layer2:hh_phonon(i=1),hh_phonon(i=1),14,-0.9193242586144207,5.0,1.2917938375945421,0.06688565213052411,0.19596077032071005,0.25358109129323536,0.05762032097252531,14,36,14,2,1,0.033442826065262055,0.06688565213052411,c81259df069932ee,634fadbb285102cc,b4aa557c4e4bd6e9
