stage,unit_index,unit_kind,unit_label,base_label,sequence_order,theta_value,reference_energy,energy_prefix,delta_energy_from_previous,energy_full,energy_full_minus_unit,removal_penalty,parameter_count,logical_2q_count,logical_depth,unit_logical_2q_count,unit_logical_depth,energy_gain_per_2q,energy_gain_per_depth,circuit_hash,removal_circuit_hash,full_circuit_hash
warm_start,1,logical_block,"layer1:hh_hop(i=0,j=1,spin=0)","hh_hop(i=0,j=1,spin=0)",1,-0.20069619267587718,5.0,4.841035761870398,0.15896423812960236,0.14543953335235707,0.30198013430955406,0.156540600957197,1,2,1,2,1,0.07948211906480118,0.15896423812960236,e9bdd1d63c1ad6fa,cd147ff55ad5924f,01869553ed46625c
warm_start,2,logical_block,"layer1:hh_hop(i=0,j=1,spin=1)","hh_hop(i=0,j=1,spin=1)",2,-1.3189147704143056,5.0,1.387672023612624,3.4533637382577735,0.14543953335235707,2.453426680091336,2.307987146738979,2,4,2,2,1,1.7266818691288868,3.4533637382577735,f85a7a72830d2af5,37a7acb71944ef25,01869553ed46625c
warm_start,3,logical_block,layer1:hh_onsite(i=0),hh_onsite(i=0),3,0.21877246436240894,5.0,1.0132296713131037,0.3744423522995204,0.14543953335235707,0.21317934349221254,0.06773981013985547,3,6,3,2,1,0.1872211761497602,0.3744423522995204,1f9dbebebf0d4488,ba825afd3205678f,01869553ed46625c
warm_start,4,logical_block,layer1:hh_onsite(i=1),hh_onsite(i=1),4,0.9708795757668838,5.0,0.7526652514046739,0.2605644199084298,0.14543953335235707,0.6357277041477345,0.49028817079537745,4,8,4,2,1,0.1302822099542149,0.2605644199084298,9a89745a56ed312a,9ff4f68d7dbed134,01869553ed46625c
warm_start,5,logical_block,layer1:hh_phonon(i=0),hh_phonon(i=0),5,0.9772097463621097,5.0,0.7526652514046737,2.220446049250313e-16,0.14543953335235707,0.1454395333523571,2.7755575615628914e-17,5,10,5,2,1,1.1102230246251565e-16,2.220446049250313e-16,fa8fcee14b88cf35,187fe43ad9f439cf,01869553ed46625c
warm_start,6,logical_block,layer1:hh_phonon(i=1),hh_phonon(i=1),6,-0.08488491024931928,5.0,0.7526652514046737,0.0,0.14543953335235707,0.14543953335235715,8.326672684688674e-17,6,12,6,2,1,0.0,0.0,879f37a7b62c73ea,f420c863e66f3607,01869553ed46625c
warm_start,7,logical_block,layer1:hh_eph(i=0),hh_eph(i=0),7,0.27949422599352625,5.0,0.7837215279738734,-0.031056276569199737,0.14543953335235707,0.19714037426776998,0.05170084091541291,7,18,7,6,1,-0.0051760460948666225,-0.031056276569199737,55f097eeb9de909f,76c351f5e7b4061a,01869553ed46625c
warm_start,8,logical_block,layer1:hh_eph(i=1),hh_eph(i=1),8,0.3095226329485556,5.0,0.8203747181166492,-0.03665319014277579,0.14543953335235707,0.18621639408123045,0.040776860728873376,8,24,8,6,1,-0.006108865023795966,-0.03665319014277579,5a1a14cc49e10fc8,db68f30d2ff5c11b,01869553ed46625c
warm_start,9,logical_block,"layer2:hh_hop(i=0,j=1,spin=0)","hh_hop(i=0,j=1,spin=0)",9,-0.8955715705478263,5.0,2.341860229769957,-1.5214855116533077,0.14543953335235707,2.102222368063751,1.9567828347113938,9,26,9,2,1,-0.7607427558266538,-1.5214855116533077,90bef3ace828a867,be3c871d471f9115,01869553ed46625c
warm_start,10,logical_block,"layer2:hh_hop(i=0,j=1,spin=1)","hh_hop(i=0,j=1,spin=1)",10,0.60675731678295,5.0,2.1864049478692187,0.1554552819007382,0.14543953335235707,0.7764653829195349,0.6310258495671779,10,28,10,2,1,0.0777276409503691,0.1554552819007382,b085a58d0e6eb791,b2247f7296e2f01d,01869553ed46625c
warm_start,11,logical_block,layer2:hh_onsite(i=0),hh_onsite(i=0),11,-0.8577101914463533,5.0,2.352736322178675,-0.16633137430945633,0.14543953335235707,1.7365836081513102,1.5911440747989531,11,30,11,2,1,-0.08316568715472816,-0.16633137430945633,a2d2e02b8a300efd,6148385890b4572b,01869553ed46625c
warm_start,12,logical_block,layer2:hh_onsite(i=1),hh_onsite(i=1),12,0.07313869814116436,5.0,2.6358532348290087,-0.2831169126503337,0.14543953335235707,0.1696143913335285,0.024174857981171444,12,32,12,2,1,-0.14155845632516684,-0.2831169126503337,9225f90065cc5dd3,72467a8aa6b834c1,01869553ed46625c
warm_start,13,logical_block,layer2:hh_phonon(i=0),hh_phonon(i=0),13,-0.4113465849670097,5.0,2.6388061217088685,-0.0029528868798598396,0.14543953335235707,0.16465884981732434,0.019219316464967273,13,34,13,2,1,-0.0014764434399299198,-0.0029528868798598396,06ef9589ddc715c3,24b5d00d009f297f,01869553ed46625c
warm_start,14,logical_block,layer2:hh_phonon(i=1),hh_phonon(i=1),14,0.6008864354749509,5.0,2.6377091636520467,0.0010969580568218618,0.14543953335235707,0.15028486054225876,0.004845327189901688,14,36,14,2,1,0.0005484790284109309,0.0010969580568218618,26ecb984bb728045,9c564794113de878,01869553ed46625c
warm_start,15,logical_block,layer2:hh_eph(i=0),hh_eph(i=0),15,-0.012044414365761216,5.0,2.63786416949836,-0.00015500584631311654,0.14543953335235707,0.14639035950502458,0.0009508261526675055,15,42,15,6,1,-2.5834307718852756e-05,-0.00015500584631311654,ca86aa73181ce3e4,20889dfdc88e2303,01869553ed46625c
warm_start,16,logical_block,layer2:hh_eph(i=1),hh_eph(i=1),16,-0.06606798171919025,5.0,2.642102363956126,-0.004238194457766298,0.14543953335235707,0.14376111457579832,-0.0016784187765587488,16,48,16,6,1,-0.0007063657429610496,-0.004238194457766298,418c82af8688e8aa,46a9bbe800e656b3,01869553ed46625c
warm_start,17,logical_block,"layer3:hh_hop(i=0,j=1,spin=0)","hh_hop(i=0,j=1,spin=0)",17,-1.8810569217605102,5.0,1.8377359043083916,0.8043664596477345,0.14543953335235707,5.161319105209112,5.015879571856755,17,50,17,2,1,0.4021832298238672,0.8043664596477345,e444ae4839d6dc8a,ac34e475124ee962,01869553ed46625c
warm_start,18,logical_block,"layer3:hh_hop(i=0,j=1,spin=1)","hh_hop(i=0,j=1,spin=1)",18,-0.14199193558457623,5.0,1.4257639229163814,0.4119719813920102,0.14543953335235707,0.24070414156542883,0.09526460821307176,18,52,18,2,1,0.2059859906960051,0.4119719813920102,3de96bebe5dcf8b3,45752229f411ca81,01869553ed46625c
warm_start,19,logical_block,layer3:hh_onsite(i=0),hh_onsite(i=0),19,0.3123290939284399,5.0,0.9222587028772324,0.503505220039149,0.14543953335235707,0.6148410693788231,0.46940153602646606,19,54,19,2,1,0.2517526100195745,0.503505220039149,6d740c527979ba5d,897b7c5e25a81fa7,01869553ed46625c
