method,trotter_steps,hardware_diagnostic_only,run_dir,workflow_json,workflow_pdf,transpile_backend,dynamics_only_count_2q,dynamics_only_cx_count,dynamics_only_depth,prep_plus_dynamics_count_2q,prep_plus_dynamics_cx_count,prep_plus_dynamics_depth,cx_proxy_total,depth_proxy_total,final_fidelity,min_fidelity,max_abs_energy_total_error,final_abs_energy_total_error,final_abs_energy_error_vs_ground_state,transpile_status
suzuki2,1,True,artifacts/json/matched_cx_t5_runs/suzuki2_S1,artifacts/json/matched_cx_t5_runs/suzuki2_S1/workflow.json,artifacts/json/matched_cx_t5_runs/suzuki2_S1/workflow.pdf,FakeGuadalupeV2,146,146,143,,,,144,66,0.30353851467926607,0.00011557618743135556,6.306017948545453,2.6121912389038804,2.6230558986823524,ok
suzuki2,2,True,artifacts/json/matched_cx_t5_runs/suzuki2_S2,artifacts/json/matched_cx_t5_runs/suzuki2_S2/workflow.json,artifacts/json/matched_cx_t5_runs/suzuki2_S2/workflow.pdf,FakeGuadalupeV2,283,283,283,,,,288,132,0.10465804759351416,0.0013047392719011258,5.863182683449177,5.434807454779185,5.449377400824957,ok
suzuki2,3,True,artifacts/json/matched_cx_t5_runs/suzuki2_S3,artifacts/json/matched_cx_t5_runs/suzuki2_S3/workflow.json,artifacts/json/matched_cx_t5_runs/suzuki2_S3/workflow.pdf,FakeGuadalupeV2,420,420,419,,,,432,198,0.03144945408885929,0.0005935228597832729,5.751329096213292,4.860056632212925,4.876046019248538,ok
suzuki2,4,True,artifacts/json/matched_cx_t5_runs/suzuki2_S4,artifacts/json/matched_cx_t5_runs/suzuki2_S4/workflow.json,artifacts/json/matched_cx_t5_runs/suzuki2_S4/workflow.pdf,FakeGuadalupeV2,557,557,560,,,,576,264,0.10506432928219976,0.10466072937401626,5.21112586734527,4.93839754566329,4.954917533714733,ok
suzuki2,5,True,artifacts/json/matched_cx_t5_runs/suzuki2_S5,artifacts/json/matched_cx_t5_runs/suzuki2_S5/workflow.json,artifacts/json/matched_cx_t5_runs/suzuki2_S5/workflow.pdf,FakeGuadalupeV2,694,694,700,,,,720,330,0.20658260030531186,0.20658260030531186,3.8021459233243977,3.8021459233243977,3.8189170471448404,ok
suzuki2,6,True,artifacts/json/matched_cx_t5_runs/suzuki2_S6,artifacts/json/matched_cx_t5_runs/suzuki2_S6/workflow.json,artifacts/json/matched_cx_t5_runs/suzuki2_S6/workflow.pdf,FakeGuadalupeV2,831,831,840,,,,864,396,0.49864203169490334,0.49864203169490334,2.762064092552943,2.762064092552943,2.7789730689124696,ok
suzuki2,8,True,artifacts/json/matched_cx_t5_runs/suzuki2_S8,artifacts/json/matched_cx_t5_runs/suzuki2_S8/workflow.json,artifacts/json/matched_cx_t5_runs/suzuki2_S8/workflow.pdf,FakeGuadalupeV2,1105,1105,1122,,,,1152,528,0.9062491094933411,0.9062491094933411,0.5329970241908046,0.5329970241908046,0.5500440561344606,ok
cfqm4,1,True,artifacts/json/matched_cx_t5_runs/cfqm4_S1,artifacts/json/matched_cx_t5_runs/cfqm4_S1/workflow.json,artifacts/json/matched_cx_t5_runs/cfqm4_S1/workflow.pdf,FakeGuadalupeV2,283,283,280,,,,288,132,0.25723336651669537,0.0006962182761757287,5.916729959294208,4.460980621340519,4.471845281118991,ok
cfqm4,2,True,artifacts/json/matched_cx_t5_runs/cfqm4_S2,artifacts/json/matched_cx_t5_runs/cfqm4_S2/workflow.json,artifacts/json/matched_cx_t5_runs/cfqm4_S2/workflow.pdf,FakeGuadalupeV2,557,557,553,,,,576,264,0.0937339644871496,0.0931271778992005,5.44064594288775,5.162440263840144,5.177010209885916,ok
cfqm4,3,True,artifacts/json/matched_cx_t5_runs/cfqm4_S3,artifacts/json/matched_cx_t5_runs/cfqm4_S3/workflow.json,artifacts/json/matched_cx_t5_runs/cfqm4_S3/workflow.pdf,FakeGuadalupeV2,831,831,833,,,,864,396,0.5358536033720127,0.5358536033720127,2.4870129384468447,2.4870129384468447,2.503002325482458,ok
