method,trotter_steps,hardware_diagnostic_only,run_dir,workflow_json,workflow_pdf,transpile_backend,dynamics_only_count_2q,dynamics_only_cx_count,dynamics_only_depth,prep_plus_dynamics_count_2q,prep_plus_dynamics_cx_count,prep_plus_dynamics_depth,cx_proxy_total,depth_proxy_total,final_fidelity,min_fidelity,max_abs_energy_total_error,final_abs_energy_total_error,final_abs_energy_error_vs_ground_state,transpile_status
suzuki2,1,True,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S1,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S1/workflow.json,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S1/workflow.pdf,FakeGuadalupeV2,146,146,143,,,,144,66,0.18768930682506235,1.4202470043698663e-05,6.309264656123997,2.494765905679062,2.507269448798173,ok
suzuki2,2,True,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S2,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S2/workflow.json,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S2/workflow.pdf,FakeGuadalupeV2,283,283,280,,,,288,132,0.0095700762380676,0.0013536225725391412,5.863182683449177,5.335748112258446,5.350640324422388,ok
suzuki2,3,True,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S3,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S3/workflow.json,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S3/workflow.pdf,FakeGuadalupeV2,420,420,420,,,,432,198,0.048817594007037446,0.048817594007037446,5.296343513238794,5.296343513238794,5.311833939715262,ok
suzuki2,4,True,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S4,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S4/workflow.json,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S4/workflow.pdf,FakeGuadalupeV2,557,557,560,,,,576,264,0.39806875239353834,0.39806875239353834,3.595722843066318,3.595722843066318,3.6114314514917782,ok
suzuki2,5,True,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S5,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S5/workflow.json,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S5/workflow.pdf,FakeGuadalupeV2,694,694,701,,,,720,330,0.589405238047709,0.589405238047709,2.258589481093032,2.258589481093032,2.274400548603884,ok
suzuki2,6,True,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S6,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S6/workflow.json,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S6/workflow.pdf,FakeGuadalupeV2,831,831,831,,,,864,396,0.889345332867425,0.889345332867425,0.671695583689336,0.671695583689336,0.6875626910749679,ok
suzuki2,8,True,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S8,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S8/workflow.json,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S8/workflow.pdf,FakeGuadalupeV2,1105,1105,1125,,,,1152,528,0.9557083183455846,0.9557083183455846,0.2305235730526849,0.2305235730526849,0.24644666648964808,ok
suzuki2,10,True,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S10,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S10/workflow.json,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S10/workflow.pdf,FakeGuadalupeV2,1379,1379,1404,,,,1440,660,0.9804971915636869,0.9804971915636869,0.08202341487473325,0.08202341487473325,0.09797251057473377,ok
suzuki2,12,True,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S12,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S12/workflow.json,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S12/workflow.pdf,FakeGuadalupeV2,1653,1653,1672,,,,1728,792,0.9909041992449541,0.9909041992449541,0.030000064972656948,0.030000064972656948,0.04596330878101018,ok
suzuki2,14,True,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S14,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S14/workflow.json,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S14/workflow.pdf,FakeGuadalupeV2,1927,1927,1939,,,,2016,924,0.995290665278301,0.9952611814177152,0.011177423151268934,0.011177423151268934,0.02714920577277402,ok
suzuki2,16,True,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S16,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S16/workflow.json,artifacts/json/suzuki2_t4_seed_cmp_runs/suzuki2_S16/workflow.pdf,FakeGuadalupeV2,2201,2201,2207,,,,2304,1056,0.9973332017837421,0.9972879644166972,0.003695644322544267,0.003695644322544267,0.019672972158515212,ok
