core__intermediate_weak__nph3__ra_macro_always__gradient_stationary__phase1_cost_off	2	0
core__strong_weak_u8__nph3__ra_macro_always__gradient_stationary__phase1_cost_off	4	1
core__strong_weak_u8__nph3__ra_singleton_always__gradient_stationary__phase1_cost_off	5	2
core__weak_strong__nph7__ra_macro_always__gradient_stationary__phase1_cost_off	6	3
core__weak_strong__nph7__ra_singleton_always__gradient_stationary__phase1_cost_off	7	4
core__intermediate_strong__nph7__ra_macro_always__gradient_stationary__phase1_cost_off	8	5
core__intermediate_strong__nph7__ra_singleton_always__gradient_stationary__phase1_cost_off	9	6
core__strong_strong_u8__nph7__ra_macro_always__gradient_stationary__phase1_cost_off	10	7
core__strong_strong_u8__nph7__ra_singleton_always__gradient_stationary__phase1_cost_off	11	8
core__weak_weak__nph3__ra_macro_always__gradient_measured__phase1_cost_off	12	9
core__weak_weak__nph3__ra_singleton_always__gradient_measured__phase1_cost_off	13	10
core__intermediate_weak__nph3__ra_macro_always__gradient_measured__phase1_cost_off	14	11
core__intermediate_weak__nph3__ra_singleton_always__gradient_measured__phase1_cost_off	15	12
core__strong_weak_u8__nph3__ra_macro_always__gradient_measured__phase1_cost_off	16	13
core__strong_weak_u8__nph3__ra_singleton_always__gradient_measured__phase1_cost_off	17	14
core__weak_strong__nph7__ra_macro_always__gradient_measured__phase1_cost_off	18	15
core__weak_strong__nph7__ra_singleton_always__gradient_measured__phase1_cost_off	19	16
core__intermediate_strong__nph7__ra_macro_always__gradient_measured__phase1_cost_off	20	17
core__intermediate_strong__nph7__ra_singleton_always__gradient_measured__phase1_cost_off	21	18
core__strong_strong_u8__nph7__ra_macro_always__gradient_measured__phase1_cost_off	22	19
core__strong_strong_u8__nph7__ra_singleton_always__gradient_measured__phase1_cost_off	23	20
core__weak_weak__nph3__ra_macro_always__gradient_stationary__phase1_cost_on	24	21
core__weak_weak__nph3__ra_singleton_always__gradient_stationary__phase1_cost_on	25	22
core__intermediate_weak__nph3__ra_macro_always__gradient_stationary__phase1_cost_on	26	23
core__intermediate_weak__nph3__ra_singleton_always__gradient_stationary__phase1_cost_on	27	24
core__strong_weak_u8__nph3__ra_macro_always__gradient_stationary__phase1_cost_on	28	25
core__strong_weak_u8__nph3__ra_singleton_always__gradient_stationary__phase1_cost_on	29	26
core__weak_strong__nph7__ra_macro_always__gradient_stationary__phase1_cost_on	30	27
core__weak_strong__nph7__ra_singleton_always__gradient_stationary__phase1_cost_on	31	28
core__intermediate_strong__nph7__ra_macro_always__gradient_stationary__phase1_cost_on	32	29
core__intermediate_strong__nph7__ra_singleton_always__gradient_stationary__phase1_cost_on	33	30
core__strong_strong_u8__nph7__ra_macro_always__gradient_stationary__phase1_cost_on	34	31
core__strong_strong_u8__nph7__ra_singleton_always__gradient_stationary__phase1_cost_on	35	32
core__weak_weak__nph3__ra_macro_always__gradient_measured__phase1_cost_on	36	33
core__weak_weak__nph3__ra_singleton_always__gradient_measured__phase1_cost_on	37	34
core__intermediate_weak__nph3__ra_macro_always__gradient_measured__phase1_cost_on	38	35
core__intermediate_weak__nph3__ra_singleton_always__gradient_measured__phase1_cost_on	39	36
core__strong_weak_u8__nph3__ra_macro_always__gradient_measured__phase1_cost_on	40	37
core__strong_weak_u8__nph3__ra_singleton_always__gradient_measured__phase1_cost_on	41	38
core__weak_strong__nph7__ra_macro_always__gradient_measured__phase1_cost_on	42	39
core__weak_strong__nph7__ra_singleton_always__gradient_measured__phase1_cost_on	43	40
core__intermediate_strong__nph7__ra_macro_always__gradient_measured__phase1_cost_on	44	41
core__intermediate_strong__nph7__ra_singleton_always__gradient_measured__phase1_cost_on	45	42
core__strong_strong_u8__nph7__ra_macro_always__gradient_measured__phase1_cost_on	46	43
core__strong_strong_u8__nph7__ra_singleton_always__gradient_measured__phase1_cost_on	47	44
